Month,Cost of Living,All motoring,Purchase (motoring),Maintenance (motoring),Petrol & oil (motoring),Tax & insurance (motoring),Average wages,Rail fares,Bus & coach fares
01/08/2009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/09/2009,0.42,2.06,2.00,0.20,3.30,1.73,0.00,-0.93,-0.23
01/10/2009,0.75,2.17,3.10,0.29,1.73,2.56,0.00,-0.93,-0.13
01/11/2009,1.03,3.52,3.20,0.29,5.43,3.58,0.23,-0.86,0.06
01/12/2009,1.68,4.03,1.30,0.35,5.43,10.20,0.46,-0.24,1.90
01/01/2010,1.63,5.49,2.00,2.80,7.69,10.64,0.46,5.79,2.45
01/02/2010,2.24,6.14,2.30,2.71,8.79,11.99,1.14,7.48,2.90
01/03/2010,2.94,7.45,1.90,2.95,11.98,13.95,0.92,7.30,2.90
01/04/2010,3.92,10.83,2.40,3.47,16.98,22.54,1.14,7.23,3.29
01/05/2010,4.29,11.98,4.10,3.67,17.78,23.97,1.83,8.06,2.39
01/06/2010,4.52,12.03,4.40,3.82,14.71,29.67,1.60,7.79,3.39
01/07/2010,4.29,11.13,2.90,4.14,14.25,28.09,1.60,7.68,3.97
01/08/2010,4.71,11.03,0.80,4.64,13.32,33.24,1.83,8.23,4.58
01/09/2010,5.08,10.37,-0.30,4.81,11.68,34.65,2.29,7.79,5.13
01/10/2010,5.32,11.43,-0.50,4.90,13.81,36.88,2.29,7.10,5.22
01/11/2010,5.78,12.24,-0.80,5.02,15.91,38.19,2.52,6.79,5.90
01/12/2010,6.53,13.44,-2.00,5.05,18.74,42.31,2.75,7.03,7.45
01/01/2011,6.81,15.96,0.00,8.05,24.27,39.53,3.66,13.23,5.80
01/02/2011,7.88,17.27,1.10,8.22,25.73,42.28,3.66,13.88,8.93
01/03/2011,8.44,19.64,2.60,8.34,29.29,46.36,3.66,14.57,9.09
01/04/2011,9.33,21.35,4.20,8.49,30.86,49.97,3.43,15.88,10.38
01/05/2011,9.70,22.46,4.20,8.75,33.16,52.36,3.66,15.26,10.96
01/06/2011,9.70,21.80,1.50,9.13,32.36,55.90,4.81,15.71,11.29
01/07/2011,9.47,20.19,-1.50,9.45,30.86,55.55,4.35,18.12,11.51
01/08/2011,10.12,20.44,-3.40,9.83,32.59,57.96,3.89,15.36,12.09
01/09/2011,10.96,19.99,-3.10,9.89,31.72,56.20,3.89,15.29,11.80
01/10/2011,11.01,19.99,-3.20,9.83,31.36,57.13,4.35,14.57,12.03
01/11/2011,11.24,20.34,-3.00,9.94,30.99,59.42,4.58,13.33,13.03
01/12/2011,11.66,21.20,-3.90,9.80,30.23,68.75,4.58,14.50,15.96
01/01/2012,11.01,20.49,-2.10,10.00,30.36,59.39,4.12,19.29,16.03
01/02/2012,11.89,21.15,-1.50,10.12,32.42,57.81,4.58,20.87,16.61
01/03/2012,12.31,22.21,-1.60,10.29,35.12,58.80,4.58,20.19,16.51
01/04/2012,13.11,23.62,-1.60,10.76,38.88,59.51,5.26,20.98,17.90
01/05/2012,13.06,22.46,-1.50,11.05,35.25,59.09,5.26,20.25,17.41
01/06/2012,12.78,20.29,-2.30,11.29,29.09,59.87,5.95,20.46,17.48
01/07/2012,12.92,19.69,-2.80,11.52,28.56,58.26,5.95,21.18,17.41
01/08/2012,13.34,19.94,-4.00,11.49,31.19,56.62,6.18,21.15,17.35
01/09/2012,13.90,21.30,-3.80,11.81,35.49,55.49,5.72,20.81,16.80
01/10/2012,14.55,21.15,-2.30,11.78,34.89,51.85,5.72,20.15,17.06
01/11/2012,14.55,19.99,-2.20,11.78,32.32,49.70,5.95,20.29,17.06
01/12/2012,15.11,19.89,-2.50,11.90,30.26,54.26,5.49,20.29,17.51
01/01/2013,14.65,19.49,-2.30,12.66,29.63,51.52,5.49,23.91,17.70
01/02/2013,15.49,20.24,-2.90,12.72,32.96,50.42,5.72,25.01,18.51
01/03/2013,16.00,22.76,-3.10,13.18,37.02,57.66,3.89,25.59,17.83
01/04/2013,16.37,21.70,-3.30,13.50,33.69,58.08,9.38,25.77,19.28
01/05/2013,16.60,20.59,-3.00,13.68,30.03,58.44,7.09,25.94,19.03
01/06/2013,16.46,21.00,-3.40,13.88,31.13,59.06,6.86,26.42,19.67
01/07/2013,16.46,20.54,-4.10,13.68,30.59,59.30,6.64,27.18,22.09
01/08/2013,17.07,21.65,-4.50,13.91,33.75,59.99,6.64,25.49,22.93
01/09/2013,17.49,21.90,-4.40,14.46,34.29,59.84,6.64,25.87,20.35
01/10/2013,17.49,20.29,-4.40,14.79,29.16,59.99,6.64,24.97,20.03
01/11/2013,17.58,19.94,-3.90,14.93,27.40,60.67,6.64,25.28,20.90
01/12/2013,18.19,20.75,-3.90,14.99,28.46,63.36,7.09,25.32,22.70
01/01/2014,17.82,20.90,-3.60,16.36,28.16,63.00,7.32,27.14,19.32
01/02/2014,18.56,20.85,-3.30,16.42,26.90,64.46,8.01,29.42,20.28
01/03/2014,18.84,20.59,-3.40,16.36,26.50,64.13,5.49,28.69,19.67
01/04/2014,19.26,20.80,-2.70,16.39,26.50,63.51,7.32,30.52,26.73
01/05/2014,19.36,20.85,-2.90,16.59,27.00,63.15,7.32,29.52,21.38
01/06/2014,19.54,20.09,-3.40,16.86,27.06,58.91,7.55,30.38,22.03
01/07/2014,19.40,20.64,-3.10,16.86,28.03,59.54,7.09,30.69,23.57
01/08/2014,19.87,20.14,-2.90,17.32,26.23,59.21,7.32,29.80,23.54
01/09/2014,20.15,19.94,-3.60,17.06,25.27,62.08,8.24,29.90,22.61
01/10/2014,20.20,19.03,-4.40,17.41,23.47,61.84,8.70,30.04,21.93
01/11/2014,19.92,17.77,-4.90,17.50,20.11,62.34,8.70,30.93,21.86
01/12/2014,20.10,17.02,-5.01,17.56,17.21,64.19,9.38,30.21,23.38
01/01/2015,19.12,13.80,-4.50,18.14,7.46,62.55,8.92,31.48,21.86
01/02/2015,19.73,13.49,-4.50,18.40,5.96,63.83,9.38,33.28,25.67
01/03/2015,19.92,14.65,-4.90,18.52,9.49,64.82,9.84,32.31,23.99
01/04/2015,20.34,15.36,-4.30,18.72,10.75,65.24,10.07,33.28,26.02
01/05/2015,20.57,15.86,-4.90,19.01,12.88,65.56,10.30,32.07,24.38
01/06/2015,20.76,16.16,-5.31,19.16,13.88,66.61,10.07,32.31,24.86
01/07/2015,20.62,15.81,-6.21,19.31,13.22,67.86,10.76,34.07,28.31
01/08/2015,21.18,15.31,-6.81,19.34,11.25,70.90,10.76,33.03,28.25
01/09/2015,21.08,13.80,-7.31,19.31,6.76,72.42,10.53,32.31,27.44
01/10/2015,21.04,13.85,-7.31,19.42,5.93,74.60,10.53,32.00,25.99
01/11/2015,21.18,14.50,-6.51,19.57,4.53,80.17,10.76,31.93,26.89
01/12/2015,21.55,13.85,-6.51,19.77,1.86,81.48,11.44,31.93,31.12
01/01/2016,20.71,13.24,-6.21,20.01,-0.93,82.50,11.90,32.45,28.89
01/02/2016,21.27,13.09,-6.91,20.15,-1.93,86.14,11.21,33.14,28.02
01/03/2016,21.78,13.54,-6.91,20.56,-1.33,87.78,12.13,34.38,27.60
01/04/2016,21.92,14.15,-7.91,20.68,2.13,87.51,13.27,33.34,28.25
01/05/2016,22.25,15.76,-8.01,21.03,4.89,93.26,12.81,32.93,28.25
01/06/2016,22.71,16.97,-8.21,21.17,7.66,96.51,12.81,30.62,29.96
01/07/2016,22.85,17.52,-8.31,20.91,8.56,99.22,13.50,33.69,31.57
01/08/2016,23.32,16.67,-9.01,21.00,6.26,101.40,13.04,32.72,33.86
01/09/2016,23.55,17.62,-9.21,21.35,8.32,103.82,13.27,32.83,31.89
