"","country","year","auth.type","auth.name","income.on","income.off","income.pcn","income.tfs","income.cong.ch","income.total","expend.on","expend.off","expend.tfs","expend.cong.ch","expend.total","surplus.budget","transport.total","wpl.logical","dpe.status","dpe.year","pcn.number","pnc.number","key"
"1","Scotland",2012,"LA","Aberdeen City",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA
"2","Scotland",2012,"LA","Aberdeenshire",NA,NA,NA,NA,NA,674,NA,NA,NA,NA,409,NA,NA,FALSE,NA,NA,NA,NA,NA
"3","Scotland",2012,"LA","Angus",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,134,NA,NA,FALSE,NA,NA,NA,NA,NA
"4","Scotland",2012,"LA","Argyll and Bute",NA,NA,NA,NA,NA,719,NA,NA,NA,NA,315,NA,NA,FALSE,NA,NA,NA,NA,NA
"5","Scotland",2012,"LA","Clackmannanshire",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,109,NA,NA,FALSE,NA,NA,NA,NA,NA
"6","Scotland",2012,"LA","Dumfries & Galloway",NA,NA,NA,NA,NA,26,NA,NA,NA,NA,293,NA,NA,FALSE,NA,NA,NA,NA,NA
"7","Scotland",2012,"LA","Dundee City",NA,NA,NA,NA,NA,3383,NA,NA,NA,NA,3018,NA,NA,FALSE,NA,NA,NA,NA,NA
"8","Scotland",2012,"LA","East Ayrshire",NA,NA,NA,NA,NA,1150,NA,NA,NA,NA,843,NA,NA,FALSE,NA,NA,NA,NA,NA
"9","Scotland",2012,"LA","East Dunbartonshire",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,113,NA,NA,FALSE,NA,NA,NA,NA,NA
"10","Scotland",2012,"LA","East Lothian",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA
"11","Scotland",2012,"LA","East Renfrewshire",NA,NA,NA,NA,NA,86,NA,NA,NA,NA,210,NA,NA,FALSE,NA,NA,NA,NA,NA
"12","Scotland",2012,"LA","City of Edinburgh",NA,NA,NA,NA,NA,23684,NA,NA,NA,NA,8508,NA,NA,FALSE,NA,NA,NA,NA,NA
"13","Scotland",2012,"LA","Eilean Siar",NA,NA,NA,NA,NA,35,NA,NA,NA,NA,19,NA,NA,FALSE,NA,NA,NA,NA,NA
"14","Scotland",2012,"LA","Falkirk",NA,NA,NA,NA,NA,456,NA,NA,NA,NA,372,NA,NA,FALSE,NA,NA,NA,NA,NA
"15","Scotland",2012,"LA","Fife",NA,NA,NA,NA,NA,2647,NA,NA,NA,NA,1794,NA,NA,FALSE,NA,NA,NA,NA,NA
