"auth.name","2012","2013","2014","2015","2016","change","change.4","prop.income"
"Ealing",15.214,14.215,14.101,16.97,19.2,13.140836770772,5.98989311587821,103.431557399127
"Westminster",38.235,29.589,27.875,20.53307455,15.009242325,-26.9021193662398,-20.8457171072155,17.0172154968985
"Lambeth",12.808,17.461,15.865,17.607,14.696,-16.5331970239109,3.4974038734678,55.2077243729777
"Islington",17.312,15.331,13.71,14.142,13.465,-4.78715881770611,-6.08936468999193,41.3341110019646
"Camden",13.559,13.925,13.615,12.865,13.22430207,2.79286490478043,-0.6229100872159,33.0810160485214
"Kensington & Chelsea",14.093,13.572,12.628,11.887,12.531,5.41768318330951,-2.89411078562256,28.0304216530589
"Hammersmith & Fulham",12.304,11.775,12.567,12.932,12.344,-4.54686050108259,0.0811754869184389,34.8493831342989
"Hackney",10.591,10.399,9.801,10.428,12.329,18.2297660145761,3.87181519652269,45.9454423492584
"Haringey",10.009,10.597,9.689,10.455,11.2693456207435,7.78905423953655,3.00943433961229,43.5035518059898
"Brent",13.229,5.436,7.311,10.55252004,9.76,-7.51024434917824,-7.32113632767525,48.0930324233764
"Wandsworth",12.361,9.898,9.883,9.233,9.557,3.50915195494422,-6.22933522449804,31.7899078601603
"Newham",8.258,8.796,8.248,8.682,9.1583,5.48606311909697,2.62070567849528,50.753553075682
"Tower Hamlets",11.165,7.758,7.938,8.31308413,9.039,8.73220887276165,-5.14386722869659,48.7461575796797
"Waltham Forest",7.658,7.424,6.789,8.8,8.626,-1.97727272727273,3.02046906588953,62.616144018583
"Barnet",13.486,4.71,14.239,5.289,8.592,62.4503686897334,-10.6585949452353,49.852045256745
"Southwark",7.915,6.364,6.517,7.01,7.836,11.7831669044223,-0.25046564134471,53.2626427406199
"Croydon",9.481,8.727,9.118,7.968,7.05599136,-11.4458915662651,-7.11919443266406,51.2836419222334
"Merton",4.33,4.383,4.738,5.083616,5.712,12.3609651083008,7.17045526115323,35.836627140975
"Greenwich",7.324,7.011,6.443,3.04,5.496,80.7894736842105,-6.9268104534406,61.545352743561
"City of London",7.49,5.886,5.24,5.616,5.426,-3.38319088319088,-7.74296500097659,45.3110647181628
"Richmond upon Thames",5.264,4.917,5.079,4.984,5.242,5.17656500802568,-0.104647434387306,38.8181279620853
"Kingston upon Thames",3.902,4.666,4.43,5.112,5.144,0.625978090766836,7.1527752479527,43.6301950805768
"Bromley",4.89,4.754,4.99,5.629,5.097,-9.45105702611475,1.04188592047407,45.427807486631
"Havering",2.931,3.222,3.907,3.943,5.015,27.1874207456251,14.3704367931598,68.8306340927807
"Redbridge",4.103,4.502,5.461,4.825,4.901,1.57512953367875,4.54320167226576,47.9362284820031
"Hillingdon",8.38,8.162,5.428,5.439,4.873,-10.406324692039,-12.6750997567885,68.0681659449644
"Harrow",3.699,3.599,3.909,4.167205811,4.7869181912,14.8711728747396,6.65787297793687,35.9138323994573
"Enfield",7.229,6.888,7.573,6.727,4.5928287151219,-31.7254539152386,-10.7207555855444,67.2162529113004
"Barking & Dagenham",3.531,3.902,3.883,4.006,3.254,-18.771842236645,-2.02168693258203,51.0511452776906
"Bexley",2.76,2.99,2.935,2.904,2.868,-1.2396694214876,0.96422505716045,50.8510638297872
"Lewisham",2.991,2.284,3.956,3.881,2.486,-35.9443442411749,-4.51807244198643,31.4683544303798
"Hounslow",5.314,4.619,5.209,4.63366666666667,1.132,-75.5701028702971,-32.0630228302114,8.63858363858364
"Sutton",1.129,0.918,0.878,0.876,0.8,-8.67579908675799,-8.25149184902045,31.5457413249211
"Total for London",302.945,268.68,273.953,264.533167197667,260.517928282065,-1.51785840623944,-3.701736291161,40.7716737754067
"Total for rest of England",496.593,479.898,481.268,478.117919119698,494.443964353412,3.41464826580298,-0.108364999431387,52.8357389215092
"Total for all of England",799.538,748.578,755.221,742.651086317365,754.961892635477,1.6576837420597,-1.42393443073129,47.9407415227141
