"auth.name","2012","2013","2014","2015","2016"
"Broadland",Inf,Inf,Inf,Inf,Inf
"South Derbyshire",1200,2025,3750,4250,Inf
"South Northamptonshire",Inf,Inf,Inf,Inf,Inf
"Wellingborough",Inf,Inf,Inf,Inf,Inf
"Fenland",27300,29800,13800,15650,9933.33333333333
"Breckland",19400,16300,17600,Inf,6566.66666666667
"East Northamptonshire",6800,7400,7500,6300,4900
"North East Derbyshire",8600,1266.66666666667,844.444444444444,6000,3800
"Hyndburn",3200,1660,1775,2700,2700
"Daventry",772,1207.14285714286,1408.33333333333,1106.66666666667,1007.14285714286
"North Warwickshire",356.25,400,512.5,326.923076923077,627.777777777778
"Oadby & Wigston",392.307692307692,413.157894736842,478.787878787879,633.333333333333,517.391304347826
"Halton",Inf,Inf,975,591.666666666667,486.666666666667
"South Staffordshire",193.181818181818,178.350515463918,179.79797979798,417.391304347826,412.5
"Bracknell Forest",198.275862068966,194.871794871795,397.777777777778,511.538461538461,382.051282051282
"Wealden",413.178294573643,342.962962962963,406.25,354.285714285714,262.672811059908
"Tandridge",157.798165137615,211.95652173913,197.916666666667,191.089108910891,236.111111111111
"East Cambridgeshire",195.652173913043,151.075268817204,122.522522522523,136.363636363636,231.506849315068
"Redditch",167.256637168142,181.818181818182,816.666666666667,308.333333333333,209.803921568627
"Babergh",152.017937219731,149.321266968326,136.057692307692,153.714285714286,183.720930232558
"North Yorkshire",63.3766233766234,57.2838073128265,68.8981868898187,139.409249902837,144.703965236285
"West Oxfordshire",136.792452830189,148.965517241379,167.868852459016,148.275862068966,143.589743589744
"Copeland",29.595015576324,46.2857142857143,47.6309226932668,41.4655150636926,141.390518665419
"Forest of Dean",122.222222222222,91.2280701754386,117.605633802817,144.117647058824,137.857142857143
"Slough",111.435897435897,111.770726714432,113.843813387424,126.699965039112,134.308750736566
"Staffordshire",108.859721082855,94.0042826552463,114.75,88.9518413597734,134.031413612565
"South Gloucestershire",347.685185185185,184.836852207294,183.364839319471,141.877794336811,131.163434903047
"Pendle",132.283464566929,134.848484848485,114.634146341463,125,127.551020408163
"Gedling",174.909090909091,146.407185628742,149.038461538462,125.981873111782,127.472527472527
"Northumberland",67.9132172423637,67.7890345649583,144.289508632138,123.476161738081,124.286662242867
"Three Rivers",132.222222222222,154.545454545455,141.800643086817,145.454545454545,122.849462365591
"Blaby",125.619834710744,130,125.694444444444,130,121.25
"Lincolnshire",109.364548494983,85.2643419572553,97.747183979975,63.8888888888889,118.081761006289
"Cumbria",454.166666666667,441.414141414141,198.603351955307,139.431396786156,114.776632302405
"Oldham",93.7394247038917,66.2482566248257,105.555555555556,119.955156950673,112.191103789127
"South Norfolk",117.813765182186,109.52380952381,101.880877742947,98.6928104575163,111.326860841424
"Broxtowe",147.428571428571,138.308457711443,115.384615384615,95.7317073170732,110.032362459547
"Buckinghamshire",154.790182106097,129.30200414651,122.605863192182,104.158669225848,108.485117725455
"Derbyshire",90.9348441926346,123.222322232223,116.46234676007,103.823279524214,107.445956765412
"Essex",120.958351992835,110.882221227049,113.426049745921,112.316715542522,107.189861077261
"Surrey",112.3993368072,69.8675496688742,118.715015818934,120.220801859384,106.391838434312
"Surrey Heath",98.7277353689567,119.777158774373,115.797317436662,NA,106.214689265537
"North West Leicestershire",94.4444444444444,96.5714285714286,97.3568281938326,96.5317919075144,105.390835579515
"Ealing",78.4105550688038,75.1162544916508,68.6347043076174,79.158503591753,103.431557399127
"Dartford",82.484076433121,92.896781354051,94.3696450428397,99.0442054958184,102.109181141439
"Telford and Wrekin",183.132530120482,181.366459627329,126,88.1877022653722,101.158940397351
"North Lincolnshire",62.5268817204301,61.4130434782609,94.4106925880923,110.888252148997,100.526315789474
"Leicestershire",93.1724137931034,105.511811023622,108.972845336482,104.993597951344,99.7779422649889
"Rochdale",87.8125,105.527638190955,74.6280344557557,107.127192982456,97.165991902834
"Hampshire",96.6089720946662,0,101.299303944316,100.844346549192,96.5494137353434
"Crawley",119.969395562357,97.8305084745763,102.437166793602,100.375939849624,96.2546816479401
"South Ribble",150.42735042735,129.059829059829,115.748031496063,93.0232558139535,95.3020134228188
"Somerset",98.6292834890966,106.902654867257,106.752954417558,103.107658157603,94.3508424182359
"Durham",96.7937608318891,104.386206896552,97.1043577981651,89.5461912479741,92.9127516778523
"Warrington",117.233294255569,108.407079646018,110.79295154185,95.5723542116631,92.8183849345675
"Hartlepool",76.382252559727,76.5432098765432,66.7365478686233,79.5136330140015,91.9941775836972
"North Kesteven",51.8939393939394,50.8305647840532,47.9876160990712,49.2625368731563,91.8840579710145
"St Helens",91.9525065963061,98.2808022922636,103.915881073241,92.5563909774436,91.0794602698651
"Cheshire West and Chester",93.8919027526622,87.1283402333459,88.3259094283593,95.9680284191829,89.8546342472572
"Thurrock",98.2511923688394,153.743760399334,174.515235457064,76.7766497461929,88.0195599022005
"Mansfield",82.7373612823674,78.3916513198281,81.5902140672783,108.886183810103,87.0848708487085
"Stockton-on-Tees",88.8631090487239,88.816644993498,66.3430420711974,81.4009661835749,84.6242774566474
"Tendring",113.157894736842,115.500945179584,120.683111954459,104.609929078014,84.5373891001267
"Basildon",103.416149068323,99.6153846153846,91.2162162162162,81.980198019802,84.2756183745583
"Dudley",83.3807395367737,88.713405238829,62.9076620825147,86.1527219583486,83.5476550680787
"Sunderland",115.548780487805,121.360847741216,125.187969924812,103.782735208535,83.3966565349544
"East Hertfordshire",79.6462209970136,71.900826446281,77.4904429952777,76.1407249466951,81.4219678626458
"West Sussex",112.340867757859,111.861056198814,107.571724341911,101.880011058889,80.5616740088106
"Sandwell",100.915455035003,91.635687732342,82.7603143418468,85.0047303689688,80.1202034211743
