"collapsed","variable","2013","2014","2015","2016","2017","2017 budget","2018 budget","change"
"On-street","Total Income",774.75,800.055,820.865480057819,888.849173002367,953.685189474685,NA,NA,7.29437776865045
"On-street","Expenditure",408.139,420.598,406.572296211862,413.593828075708,430.866278845353,NA,NA,4.17618677967391
"On-street","Surplus",366.611,379.457,414.293183845957,475.255344926659,522.818910629332,NA,NA,10.0080022687621
"Off-street","Total Income",632.723,641.33,671.48198420515,685.932252265701,703.740162722248,NA,NA,2.59616170514301
"Off-street","Expenditure",340.439,334.623,336.078790105502,341.36806455977,355.016507064027,NA,NA,3.99816032054963
"Off-street","Surplus",292.284,306.707,335.403194099648,344.564187705932,348.723655658221,NA,NA,1.20716780811791
"All parking","Total Income",1407.473,1441.385,1492.34746426297,1574.78142526807,1657.42535219693,NA,NA,5.24796175537767
"All parking","Expenditure",748.578,755.221,742.651086317365,754.961892635477,785.882785909381,NA,NA,4.09568927591339
"All parking","Surplus",658.895,686.164,749.696377945605,819.81953263259,871.542566287553,790.830315144487,881.675537,6.30907554603766
"All England transport","Net Expenditure",4795.258,4537.381,4330.74610201772,4012.82509003497,3996.98446488921,4239.57842865406,4251.303187,-0.394749952722762
"","Parking surplus as percentage of net transport expenditure",13.7405536886649,15.122468225613,17.3110212486555,20.4299842190592,21.8050025949178,18.6535130427001,20.7389475231045,NA
