"collapsed","variable","2014","2015","2016","2017","2018","2018 budget","2019 budget","change"
"On-street","Total Income",800.055,820.865480057819,888.849173002367,953.685189474685,1011.88887914722,NA,NA,6.10302962810978
"On-street","Expenditure",420.598,406.572296211862,413.593828075708,430.866278845353,439.379286260919,NA,NA,1.97578873853377
"On-street","Surplus",379.457,414.293183845957,475.255344926659,522.818910629332,572.509592886303,NA,NA,9.50437737555381
"Off-street","Total Income",641.33,671.48198420515,685.932252265701,703.740162722248,734.075073422213,NA,NA,4.31052713868452
"Off-street","Expenditure",334.623,336.078790105502,341.36806455977,355.016507064027,372.461649731432,NA,NA,4.91389620490486
"Off-street","Surplus",306.707,335.403194099648,344.564187705932,348.723655658221,361.613423690781,NA,NA,3.69627004747652
"All parking","Total Income",1441.385,1492.34746426297,1574.78142526807,1657.42535219693,1745.96395256944,NA,NA,5.34193592822454
"All parking","Expenditure",755.221,742.651086317365,754.961892635477,785.882785909381,811.840935992351,NA,NA,3.30305619977826
"All parking","Surplus",686.164,749.696377945605,819.81953263259,871.542566287553,934.123016577084,881.675537,919.112,7.18042384964632
"All England transport","Net Expenditure",4537.381,4330.74610201772,4012.82509003497,3996.98446488921,3857.44544720912,4251.303187,4864.032,-3.49110733118543
"","Parking surplus as percentage of net transport expenditure",15.122468225613,17.3110212486555,20.4299842190592,21.8050025949178,24.2161043976118,20.7389475231045,18.8960927888632,NA
