"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Westminster",27875,20533.07455,15009.242325,31246.59359,17377.73284,-44.385192613247,-11.1424038753117,20.0738650300531
"Ealing",14101,16970,19200,17703,17182,-2.94300401061966,5.06448850097625,57.3287511260886
"Lambeth",15865,17607,14696,9263.71385,16337,76.3547564673535,0.735618703428487,49.0453317322125
"Camden",13615,12865,13224.30207,16770,13517,-19.3977340488968,-0.180436358121538,34.2254519673874
"Hammersmith & Fulham",12567,12932,12344,12915,13243,2.53968253968253,1.31848587840178,33.6894858683762
"Islington",13710,14142,13465,12353,12899,4.41997895248119,-1.51283256528419,35.7501177905269
"Hackney",9801,10428,12329,11997,12880,7.36017337667749,7.06841373385394,45.3265765765766
"Kensington & Chelsea",12628,11887,12531,12269,12400,1.06773168147363,-0.454466613053683,24.9291329084659
"Haringey",9689,10455,11269.3456207435,10683.8735078249,10756.27,0.677624010824474,2.64686380940011,37.9122893217339
"Brighton & Hove",8497,8594,9122,9140,10657,16.5973741794311,5.82598924460223,29.0626960102539
"Waltham Forest",6789,8800,8626,9562,10205,6.72453461618909,10.726558068322,51.8441373704532
"Birmingham",9477,8501,9108,8550,10045,17.4853801169591,1.46581897844529,42.5077229063518
"Brent",7311,10552.52004,9760,9228,9946.47184873719,7.78578076221493,7.99982915404365,47.4953292366402
"Bristol",7444,8764,7679,8855,9544.623,7.78795031055901,6.41138692070764,47.7832334751968
"City of London",5240,5616,5426,9671,9535,-1.4062661565505,16.1441533828252,40.7113274411853
"Newham",8248,8682,9158.3,6329,9407,48.6332753989572,3.34170509284168,39.697008060092
"Southwark",6517,7010,7836,8322,9301,11.7639990386926,9.3000802571745,62.7852031861752
"Colchester",8116,8033,8180,8763,9220,5.2151089809426,3.23981572078171,80.3625904297045
"Newcastle upon Tyne",7311,7826,9479,8898,8677,-2.48370420319173,4.37541214555326,49.6680022896394
"Tower Hamlets",7938,8313.08413,9039,8660.52631,8542,-1.36858091249191,1.85025440429067,42.1770924370578
"Liverpool",6086,6118,6231,7730,8167,5.65329883570504,7.62982939982866,71.1225289558478
"Nottingham",6390,7327,5041,6024,8061,33.8147410358566,5.9795364870425,37.7617463812245
"Wandsworth",9883,9233,9557,7707,7967,3.3735565070715,-5.2451375632796,23.2172519306426
"Barnet",14239,5289,8592,9732.33223768757,7877.30403,-19.0604693960626,-13.7568661179617,36.5150047679075
"Norwich",3855,6242,7087,7660,7603,-0.744125326370764,18.5059488754641,71.2158111652304
"Croydon",9118,7968,7055.99136,6442.59711,7572.02478,17.5306270237966,-4.53853177154777,41.5879701945815
"Manchester",8151,6566,6714,7564,7571,0.0925436277101994,-1.82846350124173,43.9408009286129
"Richmond upon Thames",5079,4984,5242,5700,6967,22.2280701754386,8.22233485336754,44.7463070006423
"Havering",3907,3943,5015,6640,6961,4.8343373493976,15.533267352623,61.8975635781611
"Cornwall",6174,5936,6195,6130,6858,11.8760195758564,2.66152562579915,41.3630880579011
