"auth.name","2013","2014","2015","2016","income.per.pcn"
"Aberdeen City",47320,46450,37754,37754,42.7223605445781
"Argyll and Bute",NA,5929,8123,13018,32.0711322783838
"Dundee City",23180,25415,31332,29266,34.6579990432584
"East Ayrshire",7597,6232,5391,5995,41.0725604670559
"East Dunbartonshire",NA,3948,3331,4704,30.4872448979592
"East Lothian",NA,NA,NA,953,29.5592864637985
"East Renfrewshire",4762,4322,5696,3742,56.5387493319081
"Edinburgh City",181756,179340,184964,192381,29.1635192664556
"Fife",16639,19248,19904,20142,30.4201668156092
"Glasgow City",118245,116937,118902,133901,35.8901501855849
"Highland",NA,NA,NA,4101,17.2092172640819
"Inverclyde",NA,3439,6260,7200,43.59
"Perth and Kinross",11881,9077,7133,7805,40.1341447789878
"Renfrewshire",10280,7497,7588,6160,26.4788961038961
"South Ayrshire",7187,6716,5968,5238,37.7533409698358
"South Lanarkshire",18787,22412,23513,23693,31.9140674460811
"Total",447634,456962,465859,496053,33.2983612638166
