"auth.name","2012","2013","2014","2015","2016","change","prop.income"
"Edinburgh City",8508,9433,8539,8355,8365,0.119688809096341,27.6675266256532
"Glasgow City",6574,7565,6670,6948,6952,0.0575705238917701,34.4107310795426
"Fife",1794,2636,3003,2779,3013,8.42029507016913,86.9051052783386
"Dundee City",3018,2864,2681,2840,2848,0.28169014084507,75.9264196214343
"Perth and Kinross",2405,2307,2245,2635,2395,-9.10815939278937,82.4440619621343
"South Lanarkshire",1830,1702,1674,1832,1696,-7.4235807860262,72.108843537415
"Stirling",2267,2072,1880,1508,1546,2.51989389920424,95.4320987654321
"Highland",982,955,950,1119,1334,19.2135835567471,73.4986225895317
"East Ayrshire",843,1009,1241,962,955,-0.72765072765073,53.3519553072626
"Argyll and Bute",315,432,679,726,726,0,66.6666666666667
"South Ayrshire",439,581,529,470,706,50.2127659574468,59.4776748104465
"Aberdeenshire",409,455,505,568,589,3.69718309859155,120.696721311475
"Scottish Borders",305,353,364,349,390,11.7478510028653,224.137931034483
"Moray",420,437,433,425,362,-14.8235294117647,52.463768115942
"Inverclyde",0,130,250,297,346,16.4983164983165,89.8701298701299
"East Renfrewshire",210,258,288,378,345,-8.73015873015873,159.722222222222
"East Dunbartonshire",113,284,384,549,341,-37.8870673952641,185.326086956522
"North Ayrshire",389,363,859,279,336,20.4301075268817,172.307692307692
"Falkirk",372,318,365,223,320,43.4977578475336,69.2640692640693
"Renfrewshire",455,449,540,368,289,-21.4673913043478,27.4714828897338
"Midlothian",82,56,94,135,229,69.6296296296296,NA
"Dumfries and Galloway",293,239,216,248,210,-15.3225806451613,1400
"Angus",134,167,133,114,190,66.6666666666667,3166.66666666667
"East Lothian",0,0,0,0,170,NA,202.380952380952
"West Lothian",96,143,105,143,149,4.19580419580419,NA
"Orkney Islands",105,112,90,98,134,36.734693877551,121.818181818182
"Eilean Siar",19,81,86,93,102,9.6774193548387,283.333333333333
"West Dunbartonshire",79,83,90,86,77,-10.4651162790698,NA
"Shetland Islands",25,5,28,71,36,-49.2957746478873,133.333333333333
"Aberdeen City",0,0,0,0,0,NA,NA
"Clackmannanshire",109,106,112,92,0,-100,NA
"North Lanarkshire",0,0,0,0,0,NA,NA
"Total",32590,35595,35033,34690,35151,1.32891323147881,47.1591290231697
