"auth.name","2012","2013","2014","2015","2016","change","prop.transp"
"Edinburgh City",15176,15303,17355,19357,21869,12.9772175440409,39.0573653379054
"Glasgow City",10863,10303,11355,12582,13251,5.31711969480211,26.1397037066262
"Dundee City",365,741,1195,1645,903,-45.1063829787234,8.08632578131996
"East Ayrshire",307,233,252,566,835,47.5265017667845,5.32287881685472
"Renfrewshire",569,614,523,698,763,9.31232091690544,4.12901131013583
"South Lanarkshire",311,459,607,630,656,4.12698412698413,2.05410821643287
"Perth and Kinross",607,712,671,221,510,130.769230769231,2.9828050064335
"Highland",236,288,403,400,481,20.25,1.50528885272579
"South Ayrshire",173,245,246,-470,481,NA,3.76133875508289
"Fife",853,335,299,179,454,153.631284916201,1.30268858856274
"Argyll and Bute",404,279,326,363,363,0,2.38847216739045
"Moray",261,218,237,256,328,28.125,4.48148654187731
"Falkirk",84,136,54,0,142,NA,1.17676307284329
"Stirling",-79,151,139,163,74,-54.601226993865,0.746946603411729
"Inverclyde",0,-130,-93,31,39,25.8064516129032,0.492486425053668
"Aberdeen City",0,0,0,0,0,NA,0
"Clackmannanshire",-94,-92,-97,-78,0,-100,0
"North Lanarkshire",0,0,0,0,0,NA,0
"Shetland Islands",-10,-1,1,1,-9,NA,-0.0348364621637314
"Orkney Islands",6,-25,-10,-13,-24,84.6153846153846,-0.186697782963827
"Eilean Siar",16,-51,-48,-56,-66,17.8571428571429,-0.856697819314642
"West Dunbartonshire",-79,-83,-90,-86,-77,-10.4651162790698,-1.34380453752182
"East Lothian",0,0,0,0,-86,NA,-1.56392071285688
"Aberdeenshire",265,242,130,-152,-101,-33.5526315789474,-0.227180709883486
"East Renfrewshire",-124,-72,-77,-167,-129,-22.7544910179641,-1.16932559825961
"North Ayrshire",-258,-185,-666,-114,-141,23.6842105263158,-1.183680322364
"West Lothian",-96,-143,-105,-143,-149,4.19580419580419,-0.956599897277863
"East Dunbartonshire",-113,-284,-330,-496,-157,-68.3467741935484,-1.68148227482061
"Angus",-131,-161,-127,-108,-184,70.3703703703704,-1.42073971121921
"Dumfries and Galloway",-267,-224,-202,-234,-195,-16.6666666666667,-1.26401763142542
"Scottish Borders",-131,-206,-237,-208,-216,3.84615384615385,-1.21532661902886
"Midlothian",-82,-56,-94,-135,-229,69.6296296296296,-3.50206453586175
"Total deficit",-1464,-1713,-2176,-2460,-1763,-28.3333333333333,-0.870067315474663
"Total surplus",30496,30259,33793,37092,41149,10.9376684999461,10.8302517469634
"Total",29032,28546,31617,34632,39386,13.7271887271887,6.76069780096228
