"auth.name","income.total","expend.total","surplus.total","income.tfs","expend.tfs","surplus.tfs","income.diff","expend.diff","surplus.diff"
"Aberdeenshire",488,589,-101,NA,NA,NA,NA,NA,NA
"Angus",6,190,-184,NA,NA,NA,NA,NA,NA
"Argyll and Bute",1089,726,363,1228.821,272.457,956.364,-139.821,453.543,-593.364
"Clackmannanshire",0,0,0,NA,NA,NA,NA,NA,NA
"Dumfries and Galloway",15,210,-195,NA,NA,NA,NA,NA,NA
"Dundee City",3751,2848,903,4713.171,3644.591,1068.58,-962.171,-796.591,-165.58
"East Ayrshire",1790,955,835,1359.746,862.808,496.938,430.254,92.192,338.062
"East Dunbartonshire",184,341,-157,183.608,187.798,-4.19,0.391999999999996,153.202,-152.81
"East Lothian",84,170,-86,83.17,182.454,-99.284,0.829999999999998,-12.454,13.284
"East Renfrewshire",216,345,-129,211.568,186.671,24.897,4.43199999999999,158.329,-153.897
"Edinburgh City",30234,8365,21869,29078.067,8277.146,20800.921,1155.933,87.8539999999994,1068.079
"Eilean Siar",36,102,-66,NA,NA,NA,NA,NA,NA
"Falkirk",462,320,142,NA,NA,NA,NA,NA,NA
"Fife",3467,3013,454,3400.54,2680.432,720.108,66.46,332.568,-266.108
"Glasgow City",20203,6952,13251,5096.493,5064.306,32.1870000000008,15106.507,1887.694,13218.813
"Highland",1815,1334,481,938.502,1043.213,-104.711,876.498,290.787,585.711
"Inverclyde",385,346,39,351.771,334.678,17.093,33.229,11.322,21.907
"Midlothian",0,229,-229,NA,NA,NA,NA,NA,NA
"Moray",690,362,328,NA,NA,NA,NA,NA,NA
"North Ayrshire",195,336,-141,NA,NA,NA,NA,NA,NA
"North Lanarkshire",0,0,0,NA,NA,NA,NA,NA,NA
"Orkney Islands",110,134,-24,NA,NA,NA,NA,NA,NA
"Perth and Kinross",2905,2395,510,2905.43,3700.916,-795.486,-0.429999999999836,-1305.916,1305.486
"Renfrewshire",1052,289,763,1052.145,433.52,618.625,-0.144999999999982,-144.52,144.375
"Scottish Borders",174,390,-216,NA,NA,NA,NA,NA,NA
"Shetland Islands",27,36,-9,NA,NA,NA,NA,NA,NA
"South Ayrshire",1187,706,481,964.384,429.116,535.268,222.616,276.884,-54.268
"South Lanarkshire",2352,1696,656,2351.563,2352.597,-1.03400000000011,0.436999999999898,-656.597,657.034
"Stirling",1620,1546,74,NA,NA,NA,NA,NA,NA
"West Dunbartonshire",0,77,-77,NA,NA,NA,NA,NA,NA
"West Lothian",0,149,-149,NA,NA,NA,NA,NA,NA
"Aberdeen City",8040,4821,3219,8040.313,4104.338,3935.975,-0.313000000000102,716.662,-716.975
"Total",82577,39972,42605,61959.292,33757.041,28202.251,16794.708,1544.959,15249.749
