"auth.name","2013","2014","2015","2016","2017","income.per.pcn"
"Aberdeen City",47320,46450,37754,37754,40392,42.9906664686076
"Angus",NA,NA,NA,NA,6273,34.9609437270843
"Argyll and Bute",NA,5929,8123,13018,6269,29.8261285691498
"Dundee City",23180,25415,31332,29266,21837,58.014379264551
"East Ayrshire",7597,6232,5391,5995,6262,34.5619610348132
"East Dunbartonshire",NA,3948,3331,4704,5301,32.3425768722882
"East Lothian",NA,NA,NA,953,10040,27.7585657370518
"East Renfrewshire",4762,4322,5696,3742,5176,36.7925038639876
"Edinburgh City",181756,179340,184964,192381,191563,30.8165251118431
"Fife",16639,19248,19904,20142,21890,26.782686158063
"Glasgow City",118245,116937,118902,133901,125505,35.2239034301422
"Highland",NA,NA,NA,4101,9477,27.9199113643558
"Inverclyde",NA,3439,6260,7200,8059,34.6550440501303
"Perth and Kinross",11881,9077,7133,7805,14469,35.7044716289999
"Renfrewshire",10280,7497,7588,6160,6823,26.3548292539938
"South Ayrshire",7187,6716,5968,5238,5824,33.0968406593407
"South Lanarkshire",18787,22412,23513,23693,20952,33.32369224895
"Stirling",NA,NA,NA,NA,9975,29.6189473684211
"Total",447634,456962,465859,496053,516087,34.1099562670635
