"auth.name","2013","2014","2015","2016","2017","change","change.4","prop.income"
"Edinburgh City",9433,8539,8355,8365,8737,4.44710101613868,-1.89794038567081,26.8368349920138
"Glasgow City",7565,6670,6948,6952,7544,8.51553509781358,-0.06947090551364,37.5584984566365
"Aberdeen City",4315,4221,4877,4821,5075,5.26861646961212,4.13909797982683,60.4382517565797
"Dundee City",2864,2681,2840,2848,3401,19.4171348314607,4.38988149649219,66.7648213584609
"Fife",2636,3003,2779,3013,3204,6.33919681380684,4.99938984383607,89.5222129086337
"Perth and Kinross",2307,2245,2635,2395,2499,4.34237995824636,2.01867187745644,77.4883720930233
"Stirling",2072,1880,1508,1546,1963,26.9728331177232,-1.34192504433709,78.8987138263666
"Highland",955,950,1119,1334,1607,20.4647676161919,13.8945980617212,71.3904931141715
"South Lanarkshire",1702,1674,1832,1696,1502,-11.438679245283,-3.07683349070774,66.021978021978
"East Ayrshire",1009,1241,962,955,1360,42.4083769633508,7.74867431662814,77.8923253150057
"Argyll and Bute",432,679,726,726,705,-2.89256198347108,13.0254754349504,67.0152091254753
"Aberdeenshire",455,505,568,589,625,6.11205432937181,8.25978373090528,141.083521444695
"South Ayrshire",581,529,470,706,579,-17.9886685552408,-0.0861698344295547,65.3498871331828
"East Dunbartonshire",284,384,549,341,513,50.4398826979472,15.9310465115773,158.823529411765
"East Lothian",0,0,0,170,463,172.352941176471,NA,101.091703056769
"North Ayrshire",363,859,279,336,437,30.0595238095238,4.74750880159588,236.216216216216
"Moray",437,433,425,362,434,19.8895027624309,-0.172068317313929,64.2011834319527
"Renfrewshire",449,540,368,289,424,46.7128027681661,-1.42202810655711,41.5279138099902
"Inverclyde",130,250,297,346,397,14.7398843930636,32.19401360772,100.252525252525
"Scottish Borders",353,364,349,390,387,-0.769230769230766,2.32554463994752,234.545454545455
"East Renfrewshire",258,288,378,345,336,-2.60869565217391,6.82671970602257,174.093264248705
"Falkirk",318,365,223,320,275,-14.0625,-3.56684107624929,66.9099756690998
"Dumfries and Galloway",239,216,248,210,213,1.42857142857142,-2.83822824223398,1252.94117647059
"Midlothian",56,94,135,229,211,-7.86026200873362,39.3232533237578,NA
"Angus",167,133,114,190,159,-16.3157894736842,-1.21974037356894,NA
"West Lothian",143,105,143,149,144,-3.35570469798657,0.174368578419745,NA
"Orkney Islands",112,90,98,134,134,0,4.58555223600285,89.9328859060403
"Eilean Siar",81,86,93,102,130,27.4509803921569,12.5549458461727,276.595744680851
"West Dunbartonshire",83,90,86,77,98,27.2727272727273,4.24062240743126,NA
"Shetland Islands",5,28,71,36,24,-33.3333333333333,48.016560898457,85.7142857142857
"Clackmannanshire",106,112,92,0,0,NA,-100,NA
"North Lanarkshire",0,0,0,0,0,NA,NA,NA
"Total",39910,39254,39567,39972,43580,9.02631842289603,2.22364781255922,49.4401397665264
