"auth.name","2010","2011","2012","2013","2014","change","change.4","prop.income"
"Cardiff",3084,3275,3592,3688.334,3474,-5.8111331565959,3.02173537416495,50.3478260869565
"Swansea",3012,3184,3166,3362,3220,-4.22367638310529,1.68343902945169,62.2703538967318
"Carmarthenshire",1780.78,1761.182,1649.687,1652.378,2025.534,22.5829683038627,3.27193561159618,71.9458768653933
"Neath Port Talbot",1328.77,1381,1489.406,1261.585,1308,3.67910208190489,-0.393086615607842,87.5502008032128
"Bridgend",658.839,621.582,837.674,860.902,1156.383,34.3222573533341,15.1013983349554,91.2231529091021
"Gwynedd",1331,1276,1294,1300,1100,-15.3846153846154,-4.65374107544076,54.2673902318698
"Pembrokeshire",921,1072,1033,984,1029,4.57317073170731,2.81084678038428,67.6528599605523
"Rhondda Cynon Taf",665.119,731.793,812.405,991.065,864.274,-12.7934091104014,6.76724182846927,61.3172067231732
"Ceredigion",541,527.316,745.091,844.78,825.28,-2.30829328345842,11.1350409435848,71.7335996571863
"Denbighshire",766.994,753.849,781,759,767,1.0540184453228,0.000195568100892274,61.3109512390088
"Conwy",985,923.766,807.603,812.067,759.922,-6.42126819585084,-6.27980214149297,53.548252985093
"Powys",623.89,1006.31,848.9622,760.722,748,-1.67235862772471,4.64015958430062,54.8789435069699
"Merthyr Tydfil",380.6084,589.8187,544.5941,630.9492,651.133,3.19895801436947,14.3662376938519,87.4464147578323
"Vale of Glamorgan",339,442,556,902,637,-29.3791574279379,17.0805984222695,80.8375634517766
"Wrexham",515.429,611.76,606.616,304.1623,579.7368,90.6011363012444,2.98299185213835,55.5037094267981
"Newport",885,937,866.829,588.953,556.245,-5.55358407207366,-10.9609100787254,89.6070945292867
"Caerphilly",561.9,415,497,490.7,522.77,6.53556144283676,-1.78837289385694,72.506241331484
"Monmouthshire",595.487,541.793,686.008,597.906,509.712,-14.7504791723114,-3.81371677083669,40.7636547430919
"Flintshire",299,331,308.842,807.0831,458.2992,-43.2153640684584,11.2677939777105,101.844244034612
"Isle of Anglesey",277,293,275,303,299,-1.32013201320133,1.9290214368026,65.5701754385965
"Blaenau Gwent",245.275,284.718,311.228,274.125,261.541,-4.5906064751482,1.61822949571561,679.627367928696
"Torfaen",201,99,46,77,63,-18.1818181818182,-25.1768266929647,525
"Total",19998.0914,21058.8877,21754.9453,22252.7116,21815.83,-1.96327354550354,2.1988003563759,64.3252325613668
