"auth.name","2011","2012","2013","2014","2015","transport.total"
"Cardiff",2788,2586,2924.485,3426,3494.027,25787.29
"Swansea",1426,1256,1256,1951,2402,21258
"Gwynedd",692,804,797,927,1408,15377
"Carmarthenshire",387.286,487.418,795.181,789.824,1393.989,17228.74
"Conwy",457.801,560.206,579.63,659.213,1058.264,9121.286
"Monmouthshire",718.528,460.702,584.635,740.696,930.895,6757.765
"Powys",245.007,357.9288,435.737,615,839,11963
"Pembrokeshire",262,264,376,492,583,9410
"Rhondda Cynon Taf",353.009,477.956,393.047,545.239,496.67,17173.43
"Denbighshire",741.399,677,541,484,458,9097.823
"Wrexham",520.2,240.371,-149.1853,464.7642,315.9206,8262.764
"Bridgend",436.031,300.014,495.896,111.259,231.671,11702.83
"Neath Port Talbot",283,246.594,245.427,186,208.29,13315.46
"Caerphilly",232,162.235,211.3,198.23,190.09,15561.91
"Isle of Anglesey",51,55,85,157,186,9556
"Merthyr Tydfil",137.0319,340.4448,200.7403,93.4749999999999,171.254,4955.889
"Newport",-191,-206.39,15.9200000000001,64.515,137.324,9701.41
"Vale of Glamorgan",-123,-238,53,151,108,9545
"Ceredigion",351.26,287.081,278.03,325.199,15.865,11642.85
"Torfaen",-94,-39,-68,-51,-81,8419
"Blaenau Gwent",-284.718,-311.228,-244.125,-223.058,-310.438,5666.754
"Flintshire",-112,-100.107,-510.656,-8.29910000000001,-422.852,19712.12
