"auth.name","2012","2013","2014","2015","2016","change","prop.income"
"Cardiff",3592,3688.334,3474,3762.95,3940.961,4.73062357990406,51.8633347467252
"Swansea",3166,3362,3220,3044,3199,5.09198423127464,56.4595834804095
"Carmarthenshire",1649.687,1652.378,2025.534,1712.004,1764.262,3.05244613914453,57.0606055999708
"Pembrokeshire",1033,984,1029,1200,1270,5.83333333333333,68.0235672201393
"Neath Port Talbot",1489.406,1261.585,1308,1167.756,1256.294,7.58189210759781,91.3967480266269
"Gwynedd",1294,1300,1100,1130,1135,0.442477876106184,45.5823293172691
"Denbighshire",781,759,767,842,1052.634,25.0159144893112,61.5328227782172
"Conwy",807.603,812.067,759.922,827.782,915.938,10.6496638003726,47.3287665216221
"Blaenau Gwent",311.228,274.125,261.541,340.438,866.175,154.429587766348,2887.25
"Wrexham",606.616,304.1623,579.7368,580.3312,838.0524,44.40933039616,86.0337728172862
"Bridgend",837.674,860.902,1156.383,988.229,832.518,-15.7565705924437,73.8383679811829
"Rhondda Cynon Taf",812.405,991.065,864.274,794.365,790.796,-0.449289684213172,59.8400624737044
"Powys",848.9622,760.722,748,763,789,3.40760157273918,46.8527315914489
"Flintshire",308.842,807.0831,458.2992,861.707,725.8859,-15.7618656921668,121.251009331114
"Caerphilly",497,490.7,522.77,511.91,657.84,28.5069641147858,97.4577777777778
"Newport",866.829,588.953,556.245,502.5744,633.041,25.9596589082134,98.5274754008548
"Vale of Glamorgan",556,902,637,578,632,9.34256055363323,82.7225130890052
"Monmouthshire",686.008,597.906,509.712,489.976,593.581,21.1449132202394,38.9948646796781
"Ceredigion",745.091,844.78,825.28,964.394,588.608,-38.9660242597942,53.091649047863
"Merthyr Tydfil",544.5941,630.9492,651.133,518.726,504.046,-2.83001044867618,82.9278083884353
"Isle of Anglesey",275,303,299,337,358,6.23145400593472,59.1735537190083
"Torfaen",46,77,63,86,87,1.16279069767442,580
"Total",21754.9453,22252.7116,21815.83,22003.1426,23430.6323,6.48766281231119,62.6318341809975
